# IBM utility paper exact Mz = (1/127) sum_i <Z_i>, L=5, 127 qubits
# Downsampled to 40 points (every 4th row, indices 0,4,...,156) from ibm_utility_L5_Mz.txt for coarse truncation-grid sweeps (issue #40)
# theta value
0.0 1.0
0.04 0.9991986855298077
0.08 0.9967784890175942
0.12 0.9926871612405394
0.16 0.9868266938584411
0.2 0.9790395880903952
0.24 0.9690952662073034
0.28 0.9566820699183248
0.32 0.9414101249988244
0.36 0.9228281974278759
0.4 0.9004542353710725
0.44 0.8738162874271009
0.48 0.842499470310366
0.52 0.8061957680699907
0.56 0.7647550720862367
0.6 0.7182357708526548
0.64 0.6669503605202386
0.68 0.6114973663408196
0.72 0.5527684999028948
0.76 0.49192215634123726
0.8 0.4303212206711246
0.84 0.3694418464536152
0.88 0.31076631262976123
0.92 0.2556746450014483
0.96 0.20534688073675755
1.0 0.16068357991529106
1.04 0.12224948628592316
1.08 0.09024502228665003
1.12 0.06451083462617266
1.16 0.04456899636007878
1.2 0.029699036489737086
1.24 0.01903877040159191
1.28 0.01169241499648765
1.32 0.006825591742975994
1.36 0.0037305335784821943
1.4000000000000001 0.001853942925483664
1.44 0.0007907572244192
1.48 0.00025525599653385036
1.52 4.3750459790135266e-05
1.56 4.16345002571543e-07
